K_values,Eigenvalues
0.001,0.7727128207429402 - 0.6463904156694281im
0.001,1.2353291722888634e-10 - 3.331856744281936e-7im
0.001,2.35300858163004e-10 - 0.8914043212966103im
0.002,0.7727135963134675 - 0.6463898344504013im
0.002,7.720807326805397e-11 - 1.3330643127140718e-6im
0.002,1.5441614653610794e-10 - 0.8914030879307135im
0.003,0.7727148592246952 - 0.6463888840974169im
0.003,7.720807326805397e-11 - 2.999707376272198e-6im
0.003,2.2647701491962495e-10 - 0.8914011676820351im
0.003,4.632489947198361e-11 - 0.8914011925173039im
0.003,0.7727148439291225 - 0.6463888874299805im
0.003,0.7727148501776094 - 0.6463888814993607im
0.004,0.7727166362786724 - 0.6463875445635037im
0.004,0.7727166216484204 - 0.64638755114408im
0.004,1.2353291722888634e-10 - 5.333114871675093e-6im
0.004,1.852993758433295e-10 - 0.891398335818192im
0.004,3.959388372720716e-11 - 0.8913983686936564im
0.004,0.7727166098722841 - 0.6463875518682443im
0.005,4.825509436479105e-11 - 0.891394818567935im
0.005,0.7727189076230692 - 0.6463858385028669im
0.005,1.2353291722888634e-10 - 8.333358263179492e-6im
0.005,5.6151346199003334e-11 - 0.8913948033951129im
0.005,1.9302004439225684e-11 - 0.8913947986237862im
0.005,9.007612433720214e-11 - 0.8913948356354815im
0.005,4.6110393281395784e-11 - 0.8913947690413272im
0.005,0.7727189097155165 - 0.6463858250675578im
0.005,9.651002219612842e-12 - 0.8913947872111758im
0.005,3.860411990075383e-11 - 0.8913947542687097im
0.005,1.5441614653610794e-10 - 0.8913948090313699im
0.005,0.7727189127883399 - 0.6463858198479734im
0.006,0.7727216811676898 - 0.6463837326320467im
0.006,1.2353291722888634e-10 - 1.1999687130348492e-5im
0.006,7.720807326805397e-11 - 0.8913904196209752im
0.006,0.7727216932131217 - 0.6463837296032716im
0.007,0.7727249639813238 - 0.6463812620847631im
0.007,0.7727249815749405 - 0.6463812528464666im
0.007,2.058882323889114e-10 - 0.8913852435817337im
0.007,1.5441614653610794e-10 - 0.8913852486440789im
0.007,7.720807326805397e-11 - 1.6332851898059886e-5im
0.007,0.7727249634235015 - 0.6463812517104968im
0.008,0.772728796971111 - 0.6463783835792791im
0.008,1.5441614653610794e-10 - 0.8913792561141122im
0.008,7.720807326805397e-11 - 0.8913792946713133im
0.008,0.7727287826178413 - 0.6463783870426579im
0.008,1.852993758433295e-10 - 2.1333317108052084e-5im
0.008,1.2353291722888634e-10 - 0.8913792769114167im
0.009,0.7727331017653544 - 0.6463751391390687im
0.009,0.7727330905900097 - 0.6463751455388136im
0.009,0.7727330714141644 - 0.6463751564536193im
0.009,1.5441614653610794e-10 - 2.7000225131690314e-5im
0.009,0.7727330692525551 - 0.6463751559334066im
0.009,1.5441614653610794e-10 - 0.8913725366195038im
0.01,1.852993758433295e-10 - 3.333286129993951e-5im
0.01,1.852993758433295e-10 - 0.8913649286297586im
0.01,8.286224232020648e-11 - 0.8913649858329024im
0.01,0.7727379136598168 - 0.6463715142840649im
0.01,1.5441614653610794e-10 - 0.8913649395286896im
0.01,0.7727378817570673 - 0.646371527548544im
0.011,0.7727432451462322 - 0.6463675037437321im
0.011,0.7727432218470897 - 0.646367513101311im
0.011,1.2353291722888634e-10 - 0.8913565985590409im
0.011,1.0294409769073862e-10 - 0.8913566156638124im
0.011,1.5441614653610794e-10 - 0.8913565791553715im
0.011,1.5441614653610794e-10 - 4.0333369653478e-5im
0.012,0.7727490562083987 - 0.6463631185833014im
0.012,0.7727490774357926 - 0.6463631105075559im
0.012,0.7727490453908479 - 0.646363117500154im
0.012,1.2353291722888634e-10 - 4.799974908191729e-5im
0.012,7.720807326805397e-11 - 0.8913474669344983im
0.013,0.7727553878095877 - 0.6463583489885731im
0.013,6.176645861444317e-11 - 0.8913374969141661im
0.013,7.720807326805397e-11 - 5.633389349579687e-5im
0.013,0.7727553848955706 - 0.6463583517554609im
0.013,0.7727553703388284 - 0.646358357130404im
0.013,0.7727553814350279 - 0.6463583471177351im
0.013,0.7727553749331537 - 0.6463583510556659im
0.014,0.7727622282464276 - 0.6463531968243382im
0.014,1.2353291722888634e-10 - 6.533369457777383e-5im
0.014,1.0294409769073863e-10 - 0.8913268062898773im
0.014,1.4631409664092365e-10 - 0.8913267955305741im
0.015,0.7727695710281532 - 0.6463476634986846im
0.015,0.77276958564475 - 0.6463476523999502im
0.015,1.2353291722888634e-10 - 7.500051022653053e-5im
0.015,4.861249674408782e-11 - 0.8913152876525692im
0.015,0.7727695960989994 - 0.6463476493919158im
0.015,4.632485506306263e-11 - 0.8913152772817104im
0.016,0.7727774335930386 - 0.6463417414423951im
0.016,7.720807326805397e-11 - 8.533416177480824e-5im
0.016,6.970174437626078e-11 - 0.8913030099350043im
0.016,1.0762338495143604e-10 - 0.891302976735361im
0.016,1.3235669703094966e-10 - 0.891303027296934im
0.016,0.7727774127738237 - 0.6463417552518642im
0.017,0.7727857961221746 - 0.6463354431245734im
0.017,1.852993758433295e-10 - 9.63336843948781e-5im
0.017,7.720807326805397e-11 - 0.8912898190944878im
0.018,0.7727946576488591 - 0.6463287675172475im
0.018,7.720807326805397e-11 - 0.8912759313551912im
0.018,7.720807326805397e-11 - 0.00010800125787557846im
0.019,0.7728040447144118 - 0.6463217016895363im
0.019,0.7728040141972813 - 0.6463217147725925im
0.019,0.7728040389965796 - 0.6463216973827227im
0.019,1.7647559604126622e-10 - 0.8912612487086286im
0.019,1.2353291722888634e-10 - 0.00012033434508822438im
0.019,7.720807326805397e-11 - 0.8912612117237333im
0.019,1.2353291722888634e-10 - 0.8912612395606743im
0.02,0.7728138936962284 - 0.6463142722413657im
0.02,0.7728139199570474 - 0.6463142595954816im
0.02,1.5441614653610794e-10 - 0.00013333519728564447im
0.02,1.5441614653610794e-10 - 0.8912457488209218im
0.02,0.7728139302949976 - 0.6463142496422977im
0.021,0.7728242941943888 - 0.6463064426139846im
0.021,1.852993758433295e-10 - 0.000147001920557166im
0.021,1.4037833521869855e-10 - 0.8912294614489149im
0.021,7.720811644339381e-11 - 0.8912294108669747im
0.021,1.1230267221213349e-10 - 0.8912294482597466im
0.021,6.434008881228726e-11 - 0.891229405576329im
0.022,0.7728351771333123 - 0.6462982390262929im
0.022,1.852993758433295e-10 - 0.00016133562266364975im
0.022,1.2353291722888634e-10 - 0.8912123543181292im
0.022,0.7728351648058366 - 0.6462982340777597im
0.022,0.7728351948089505 - 0.6462982283648432im
0.022,2.0910523312878236e-11 - 0.8912123280646592im
0.022,4.5038056617485955e-11 - 0.8912123151445129im
0.022,8.750253854827905e-11 - 0.8912123431333245im
0.023,0.772846589549281 - 0.6462896476442482im
0.023,8.823779802063311e-11 - 0.8911944667988347im
0.023,7.720807326805397e-11 - 0.8911944488041115im
0.023,1.5441614653610794e-10 - 0.00017633630360380792im
0.024,0.7728584917087724 - 0.6462806803390408im
0.024,0.7728584841420063 - 0.646280684392585im
0.024,1.5441614653610794e-10 - 0.8911757576141621im
0.024,7.720807326805397e-11 - 0.00019200378470562995im
0.025,0.7728708837224696 - 0.6462713324627236im
0.025,0.7728709059735316 - 0.6462713285434257im
0.025,0.7728708923527421 - 0.6462713284644401im
0.025,1.5441614653610794e-10 - 0.8911562722316272im
0.025,1.2353291722888634e-10 - 0.0002083376728931441im
0.025,0.7728708945871012 - 0.6462713289532452im
0.026,3.088323818900578e-10 - 0.8911360193499551im
0.026,0.7728838270809707 - 0.6462615960877058im
0.026,1.2353291722888634e-10 - 0.0002253385756521453im
0.026,9.651002219612842e-12 - 0.8911360315844516im
0.027,0.7728972596703323 - 0.6462514778527516im
0.027,1.3725879692098484e-10 - 0.8911149459872413im
0.027,7.720807326805397e-11 - 0.8911149659388353im
0.027,1.2353291722888634e-10 - 0.8911149586133258im
0.027,7.720807326805397e-11 - 0.00024300649297570587im
0.028,1.852994202522505e-10 - 0.891093035681928im
0.028,0.7729111910086509 - 0.6462409865533174im
0.028,7.720807326805397e-11 - 0.8910930408633868im
0.028,1.5441614653610794e-10 - 0.0002613408173892662im
0.029,0.7729256290313031 - 0.6462301089666087im
0.029,7.720807326805397e-11 - 0.0002803414059475706im
0.029,2.969540852531682e-11 - 0.891070439504468im
0.029,7.72081287792052e-11 - 0.8910704352301078im
0.029,6.4340199834589716e-12 - 0.89107042687724im
0.029,3.645941065395396e-11 - 0.8910704174584754im
0.029,3.2170932584563327e-12 - 0.8910704063970774im
0.029,6.648474363638983e-11 - 0.8910704120475476im
0.029,5.2036492074367815e-11 - 0.8910704012541473im
0.029,0.7729256068589567 - 0.646230116802202im
0.03,0.772940597415684 - 0.6462188425279114im
0.03,1.2353291722888634e-10 - 0.8910469429956074im
0.03,1.852993758433295e-10 - 0.8910469371351978im
0.03,1.5441614653610794e-10 - 0.00030000950935771264im
0.03,0.7729405872105569 - 0.6462188451055811im
0.031,0.7729560328380463 - 0.6462072098516156im
0.031,0.7729560190712372 - 0.6462072131607078im
0.031,1.852993758433295e-10 - 0.00032034423425564285im
0.031,4.844428126622994e-11 - 0.8910226761921998im
0.031,6.434008881228725e-11 - 0.8910226939524463im
0.031,2.573602072194124e-11 - 0.8910227080019425im
0.031,8.235532256151189e-11 - 0.8910226909090841im
0.031,3.2170016650568013e-11 - 0.8910227039431335im
0.032,0.7729719823338121 - 0.6461951868628322im
0.032,1.852993758433295e-10 - 0.8909976466668306im
0.032,7.720807326805397e-11 - 0.00034134558064646825im
0.032,0.772971979524805 - 0.6461951876644314im
0.033,0.7729884538243157 - 0.6461827888089231im
0.033,1.852993758433295e-10 - 0.00036301372720224376im
0.033,1.1581210990208095e-10 - 0.8909717978512067im
0.033,7.720807326805397e-11 - 0.8909718020499744im
0.034,1.2868012211342328e-10 - 0.8909451835852042im
0.034,1.2353291722888634e-10 - 0.8909451734247817im
0.034,9.65101147147138e-11 - 0.8909451442329172im
0.034,1.2353291722888634e-10 - 0.00038534917419656977im
0.034,6.176645861444317e-11 - 0.8909451768552643im
0.034,0.7730054303000011 - 0.6461700043446734im
0.034,0.7730054421746049 - 0.6461699960900728im
0.035,0.7730229204178194 - 0.646156830866255im
0.035,7.720807326805397e-11 - 0.8909177303099793im
0.035,1.5441614653610794e-10 - 0.0004083513141543982im
0.036,0.7730409178950749 - 0.6461432794116626im
0.036,0.7730409209244921 - 0.6461432742968884im
0.036,7.720807326805397e-11 - 0.0004320203972083547im
0.036,7.72081287792052e-11 - 0.8908895451983482im
0.036,6.755709880401674e-11 - 0.8908895326541549im
0.036,8.685915875439366e-11 - 0.8908895295720801im
0.036,1.9302059950376915e-11 - 0.8908895654626157im
0.037,0.7730594130061448 - 0.6461293499033273im
0.037,0.7730593792892266 - 0.646129359209395im
0.037,1.2353291722888634e-10 - 0.0004563558873503126im
0.037,3.7434207249150186e-11 - 0.8908604811824216im
0.037,2.0588819538147725e-11 - 0.8908604983803171im
0.037,0.7730594034330835 - 0.6461293596586737im
0.037,3.041532682278697e-11 - 0.8908604921138369im
0.038,0.7730784069634407 - 0.6461150410471516im
0.038,7.720807326805397e-11 - 0.8908306560713624im
0.038,1.2353291722888634e-10 - 0.0004813583920590503im
0.038,0.7730784158929039 - 0.6461150372480453im
0.039,0.7730979034011229 - 0.6461003597834705im
0.039,1.1581210990208095e-10 - 0.8908000736713997im
0.039,1.3725879692098484e-10 - 0.8908000639239037im
0.039,1.2353291722888634e-10 - 0.8908000559829696im
0.039,7.720807326805397e-11 - 0.0005070277326681971im
0.039,0.7730979115465761 - 0.6461003561564495im
0.039,0.7730979179684294 - 0.6461003454058665im
0.04,0.7731179403564099 - 0.6460852750148529im
0.04,0.7731179261135259 - 0.6460852753970507im
0.04,1.5441614653610794e-10 - 0.0005333638377027494im
0.04,1.0089402564445982e-11 - 0.8907686423036428im
0.04,1.0983262608578091e-11 - 0.8907686097932381im
0.04,1.3711254354120753e-11 - 0.8907686360925955im
0.041,3.0025372311905107e-10 - 0.890736427845999im
0.041,0.7731384424512893 - 0.6460698239396244im
0.041,0.7731384637484752 - 0.6460698152283582im
0.041,1.852993758433295e-10 - 0.0005603665642302857im
0.042,0.7731594779060084 - 0.6460539811070722im
0.042,0.7731594720807098 - 0.6460539926227609im
0.042,1.2353291722888634e-10 - 0.8907034217024853im
0.042,7.720807326805397e-11 - 0.0005880371629476411im
0.043,0.7731810187641915 - 0.6460377613188222im
0.043,5.147205994759955e-10 - 0.8906696027157858im
0.043,0.7731810305975312 - 0.6460377651167747im
0.043,1.5441614653610794e-10 - 0.8906696317829097im
0.043,1.5441614653610794e-10 - 0.000616374383155982im
0.043,6.176645861444317e-11 - 0.8906696147198299im
0.044,0.7732030405686913 - 0.6460211688826333im
0.044,0.7732030484307156 - 0.6460211669394653im
0.044,0.7732030528355722 - 0.6460211619847913im
0.044,1.2353291722888634e-10 - 0.890634978274931im
0.044,7.720807326805397e-11 - 0.8906349698773954im
0.044,7.720807326805397e-11 - 0.0006453778675128419im
0.044,0.7732030738762857 - 0.6460211555567178im
0.045,1.7500498827871616e-10 - 0.8905996244302458im
0.045,1.2353291722888634e-10 - 0.0006750491883254384im
0.045,0.7732256016590943 - 0.6460041833639136im
0.046,0.7732486671544087 - 0.6459868151619539im
0.046,1.2353296163780734e-10 - 0.8905634588474822im
0.046,0.7732486705335312 - 0.6459868216162016im
0.046,1.2868014061714034e-10 - 0.8905634547459903im
0.046,6.801668752030702e-11 - 0.8905634043451719im
0.046,0.7732486743017455 - 0.6459868185126016im
0.046,7.720807326805397e-11 - 0.0007053870234261517im
0.046,0.7732486598673441 - 0.6459868062222475im
0.046,0.7732486872054863 - 0.6459868110435028im
0.047,1.852994202522505e-10 - 0.8905264113446772im
0.047,0.7732722346991824 - 0.6459690736940591im
0.047,7.720807326805397e-11 - 0.8905264167048075im
0.047,1.5441614653610794e-10 - 0.0007363912656124239im
0.047,0.7732722246733762 - 0.6459690623150458im
0.048,0.7732962997148211 - 0.645950945535517im
0.048,3.107387680501022e-10 - 0.8904886581099606im
0.048,7.720807326805397e-11 - 0.0007680633799931336im
0.048,6.176654743228514e-11 - 0.8904886737430109im
0.048,0.7732962754328361 - 0.6459509593420967im
0.049,0.7733208834869234 - 0.64593243584821im
0.049,1.2353291722888634e-10 - 0.0008004019014570928im
