K_values,Eigenvalues
0.0,2.7211551530589068e-12 - 4.243978977452069im
0.0,4.705670773676397e-12 - 4.24397940698718im
0.0,5.913152507324507e-12 - 4.243977043032649im
0.0,2.4145396793073937e-11 - 4.243976455616456im
0.0,6.622738357720016e-11 - 4.243975532054904im
0.0,3.3113694009046134e-11 - 4.243974345922472im
0.0,5.174011219466506e-12 - 4.243977832235399im
0.0,6.622738357720016e-11 - 4.243978601694108im
0.0,1.0348027990048134e-11 - 4.243979461584242im
0.0,2.1462582328663667e-11 - 4.2439752802252775im
0.0,4.9670547674907345e-11 - 2.771744524091481im
0.0,4.9670547674907345e-11 - 2.0609447510540475im
0.0,1.0348025214490573e-11 - 4.243974436353893im
0.0,1.0348022438933012e-11 - 4.2439748710642275im
0.0,2.228806199429294e-11 - 4.2439766953770945im
0.0,1.0348027990048134e-11 - 4.243976574763657im
0.0,1.8971383723235724e-11 - 4.243977494072171im
0.0,2.2995620222824795e-11 - 4.243977223916188im
0.0,6.898677925211926e-12 - 4.243976822495461im
0.0,1.6556844784077015e-11 - 4.243976599350572im
0.0,1.5920043061612513e-11 - 4.243976289148515im
0.0,4.967054323401524e-11 - 4.243977936804297im
0.0,2.069605598009627e-11 - 4.243977096155286im
0.0,1.0348027990048134e-11 - 4.243977477587761im
0.0,1.3797370653397513e-11 - 4.243977471358248im
0.0,4.139212306242279e-11 - 3.49736878015101im
0.0,8.466562804378806e-12 - 4.2439785490489825im
0.0,2.069605915216205e-11 - 4.243979476551925im
0.0,1.5522041059886345e-11 - 4.243976266216488im
0.0,5.174011219466506e-12 - 4.243975290562959im
0.0,2.069605598009627e-11 - 4.2439765102230025im
0.0,8.278422392038508e-12 - 4.243976830840111im
0.0,1.8814596345542062e-11 - 4.243978136777881im
0.0,8.278422392038508e-12 - 4.243979256600143im
0.0,2.4835267176115525e-11 - 4.243979026675226im
0.0,1.3797370653397511e-11 - 4.243976348588864im
0.0,1.0348021785860647e-11 - 4.243975177604488im
0.0,1.6556844784077015e-11 - 4.243975924551488im
0.0,8.623352032444177e-12 - 4.243974833873414im
0.0,1.2417629147165665e-11 - 4.243974445685746im
0.0,9.313221305262736e-12 - 4.243975438786053im
0.0,1.7739476554368232e-11 - 4.243975962379149im
0.0,1.0779199755006684e-11 - 4.243977835401895im
0.0,2.069605598009627e-11 - 4.243977518100294im
0.0,2.069605375965022e-11 - 4.243978307321668im
0.0,1.1826317702912154e-11 - 4.2439793008778794im
0.0,1.0348027990048134e-11 - 4.243978513404727im
0.0,1.940255178745086e-11 - 4.243979315483013im
