K_values,Eigenvalues
0.001,4.6324943880904596e-11 - 1.500228897732825e-6im
0.001,1.2353296163780734e-10 - 0.00806230878372478im
0.002,1.852993758433295e-10 - 0.0080580785691863im
0.002,9.264975453504624e-11 - 6.004417542015972e-6im
0.003,4.632489947198361e-11 - 0.00805102031436693im
0.003,6.176654743228514e-11 - 1.3521249345593845e-5im
0.004,1.9302059950376915e-11 - 2.4067206706668287e-5im
0.004,3.860411990075383e-11 - 0.008041114955068096im
0.005,1.9302059950376915e-11 - 3.7664784301894016e-5im
0.005,3.86040643896026e-11 - 0.00802834158678234im
0.006,1.9302059950376915e-11 - 0.00801267048759069im
0.006,6.176654743228514e-11 - 5.434314124030948e-5im
0.007,1.2353291722888634e-10 - 7.413831546205784e-5im
0.007,9.264971012612525e-11 - 0.007994064967410175im
0.008,3.86040643896026e-11 - 9.70958055341864e-5im
0.008,1.9302059950376915e-11 - 0.007972481037430201im
0.009,9.264975453504624e-11 - 0.00012326690790427365im
0.009,1.389745651891879e-10 - 0.007947867258274854im
0.01,7.72081287792052e-11 - 0.00015271260298188594im
0.01,9.264971012612525e-11 - 0.00792016106829454im
0.011,1.852993758433295e-10 - 0.0001855028047264895im
0.011,7.72081287792052e-11 - 0.00788929258033133im
0.012,1.2353291722888634e-10 - 0.0002217207023575085im
0.012,3.86040643896026e-11 - 0.00785518062414825im
0.013,3.860411990075383e-11 - 0.0002614582935702714im
0.013,9.264971012612525e-11 - 0.007817732415894518im
0.014,4.6324943880904596e-11 - 0.0077768418071347154im
0.014,3.860411990075383e-11 - 0.0003048208513138917im
0.015,3.860411990075383e-11 - 0.00035192924652083235im
0.015,3.86040643896026e-11 - 0.007732387909070271im
0.016,1.2353291722888634e-10 - 0.00768423352024179im
0.016,7.720810657474471e-11 - 0.0004029214310703466im
0.017,1.9302059950376915e-11 - 0.0076322213297668196im
0.017,4.632489947198361e-11 - 0.0004579545997030365im
0.018,1.9302059950376915e-11 - 0.007576172952529658im
0.018,9.264971012612525e-11 - 0.0005172068695335596im
0.019,4.632489947198361e-11 - 0.007515882094987348im
0.019,1.9302059950376915e-11 - 0.0005808848289132751im
0.02,1.9302059950376915e-11 - 0.007451111830466983im
0.02,1.9302059950376915e-11 - 0.0006492241627453765im
0.021,7.72081287792052e-11 - 0.0073815896499624944im
0.021,4.632489947198361e-11 - 0.0007224991667477809im
0.022,7.72081287792052e-11 - 0.007306996652546083im
0.022,7.72081287792052e-11 - 0.0008010274643528437im
0.023,1.2353291722888634e-10 - 0.00722695869221539im
0.023,3.860411990075383e-11 - 0.0008851830228910895im
0.024,1.9302059950376915e-11 - 0.007141036354451957im
0.024,9.264975453504624e-11 - 0.0009754074992029515im
0.025,1.2353291722888634e-10 - 0.007048699495603117im
0.025,3.86040643896026e-11 - 0.0010722277940615754im
0.026,1.2353291722888634e-10 - 0.006949309679528959im
0.026,1.9302059950376915e-11 - 0.0011762837729720754im
0.027,1.852993758433295e-10 - 0.006842083782314568im
0.027,7.720810657474471e-11 - 0.0012883589350625613im
0.028,3.860411990075383e-11 - 0.006726042097276341im
0.028,1.9302059950376915e-11 - 0.00140943370169766im
0.029,1.9302059950376915e-11 - 0.006599931774450729im
0.029,1.2353291722888634e-10 - 0.0015407584839863375im
0.03,1.2353291722888634e-10 - 0.006462112462206448im
0.03,4.632489947198361e-11 - 0.0016839749735890308im
0.031,1.6728418650302586e-10 - 0.0018413057275317908im
0.031,7.72081287792052e-11 - 0.006310361252127139im
0.032,9.264975453504624e-11 - 0.0061415293090927746im
0.032,1.852993758433295e-10 - 0.0020158999829519076im
0.033,6.176650302336416e-11 - 0.005950890856680502im
0.033,1.9302004439225684e-11 - 0.002212483989749714im
0.038,0.0008141439813410797 - 0.004097918383509658im
0.039,0.0012506834171801158 - 0.004101437820996168im
0.04,0.001577630458924303 - 0.0041050486189194045im
0.041,0.0018539007669487375 - 0.0041087507177226534im
0.042,0.0020995938716158345 - 0.004112543533747193im
0.043,0.002324424877067755 - 0.004116427126547961im
0.044,0.0025339510362592543 - 0.004120402437128056im
0.045,0.0027316955704765585 - 0.004124467893184836im
0.046,0.002920051683415862 - 0.004128624924080349im
0.047,0.0031007295445459595 - 0.004132872719846148im
0.048,0.0032749987019161154 - 0.004137211709287136im
0.049,0.0034438316994997733 - 0.004141640891847409im
0.05,0.0036079904576039115 - 0.00414616155395926im
0.051,0.003768084477472586 - 0.004150772075670339im
0.052,0.003924610562275463 - 0.004155474708235118im
0.053,0.004077978393574421 - 0.004160267271868534im
0.054,0.004228531018920484 - 0.0041651509577149935im
0.055,0.004376557618637 - 0.004170125098729234im
0.056,0.0045223052637563006 - 0.004175189873584095im
0.057,0.004665986367458276 - 0.004180345603887759im
0.058,0.004807785863703697 - 0.004185591491579999im
0.059,0.004947864206343924 - 0.00419092788208566im
0.06,0.005086362670740278 - 0.004196355239950655im
0.061,0.00522340620531735 - 0.004201872671823666im
0.062,0.005359105063225861 - 0.004207480868561042im
0.063,0.005493558564952245 - 0.0042131796157615755im
0.064,0.005626854624772843 - 0.004218968556082103im
0.065,0.005759073230269103 - 0.004224847689522093im
0.066,0.005890285536415426 - 0.00423081744489im
0.067,0.00602055695390454 - 0.004236876106948806im
0.068,0.006149945728519666 - 0.0042430269632419025im
0.069,0.006278506338287736 - 0.004249266726221457im
0.07,0.006406287269888622 - 0.004255596968194375im
0.071,0.0065333334893142745 - 0.004262017546225749im
0.072,0.006659686441866419 - 0.0042685283173746315im
0.073,0.006785383681559178 - 0.004275128424024821im
0.074,0.006910460477048322 - 0.004281819581413338im
0.075,0.007034948946898237 - 0.0042885996454920415im
0.076,0.007158878986082221 - 0.004295469616817193im
0.077,0.007282277957145615 - 0.004302430353004638im
0.078,0.007405172172606051 - 0.004309479995880672im
0.079,0.00752758504195547 - 0.004316619688944101im
0.08,0.007649539171722614 - 0.004323848288693988im
0.081,0.007771055027199121 - 0.004331167986830664im
0.082,0.00789215231188853 - 0.004338576067550548im
0.083,0.008012848938067526 - 0.004346074531975219im
0.084,0.008133162365058674 - 0.0043536624748361065im
0.085,0.008253108219779069 - 0.00436133918144872im
0.086,0.008372701408537896 - 0.004369105866771268im
0.087,0.008491956384688224 - 0.00437696174466069im
0.088,0.008610886180956621 - 0.004384906600705918im
0.089,0.008729503150636852 - 0.0043929412925269124im
0.09,0.008847819585256688 - 0.0044010651769127666im
0.091,0.008965845923349392 - 0.004409278110920667im
0.092,0.009083593200525722 - 0.004417579880150413im
0.093,0.009201070985440143 - 0.004425971127815546im
0.094,0.00931828917617046 - 0.0044344509248260165im
0.095,0.00943525615751453 - 0.00444301977146182im
0.096,0.0095519807054588 - 0.004451677524785857im
0.097,0.00966847054081255 - 0.004460424399203511im
0.098,0.009784733507917582 - 0.004469260108842477im
0.099,0.009900777080516582 - 0.004478183724611995im
0.1,0.010016607311723208 - 0.004487196818817196im
0.101,0.010132231304682469 - 0.00449629881970921im
0.102,0.01024765529780792 - 0.004505487797645103im
0.103,0.010362884973614827 - 0.004514766111078749im
0.104,0.010477926261684766 - 0.004524133617071868im
0.105,0.010592784211425711 - 0.004533589017285511im
0.106,0.01070746436637925 - 0.004543132347455625im
0.107,0.010821971127406339 - 0.0045527641435903375im
0.108,0.01093630953362155 - 0.004562483869678502im
0.109,0.011050484135154916 - 0.004572291716302986im
0.11,0.011164498576228045 - 0.00458218854108452im
0.111,0.011278357654037853 - 0.004592172390549187im
0.112,0.011392065156926914 - 0.004602244432023461im
0.113,0.011505624379106684 - 0.0046124041890450345im
0.114,0.011619039407459548 - 0.004622652281006889im
0.115,0.011732313711202485 - 0.004632986968845287im
0.116,0.011845450121297512 - 0.004643409920157844im
0.117,0.011958451901074802 - 0.004653921087298407im
0.118,0.012071322406512337 - 0.004664519136185774im
0.119,0.012184064314155415 - 0.004675205091206535im
0.12,0.012296680403497113 - 0.004685978809422053im
0.121,0.012409173639326695 - 0.004696838289712524im
0.122,0.012521546307005079 - 0.004707785962010114im
